ID,regnum,regnum2,name1,name2
H4P00015,392,392,,"Adalbero (v. Luxemburg), Bf. III. v. Metz (1047-1072), Bruder Hzg. Friedrichs (v. Luxemburg) II. v. Niederlothringen, Hzg. Heinrichs VII. v. Bayern und Gf. Hermanns v. Gleiberg, Onkel Pfalzgf. Heinrichs (II. v. Laach) II. v. Lothringen, (Gegen)Kg. Hermanns v. Salm, Gf. Konrads v. Luxemburg und Bf. Poppos v. Metz"
H4P00015,617,617,,"Adalbero (v. Luxemburg), Bf. III. v. Metz (1047-1072), Bruder Hzg. Friedrichs (v. Luxemburg) II. v. Niederlothringen, Hzg. Heinrichs VII. v. Bayern und Gf. Hermanns v. Gleiberg, Onkel Pfalzgf. Heinrichs (II. v. Laach) II. v. Lothringen, (Gegen)Kg. Hermanns v. Salm, Gf. Konrads v. Luxemburg und Bf. Poppos v. Metz"
H4P00016,1419,1419,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00016,1452,1452,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00016,1453,1453,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00016,1458,1458,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00016,1459,1459,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00016,1461,1461,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00016,1469,1469,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00016,1470,1470,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00016,1486,1486,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00016,1519,1519,,"Adalbero, (ksl. Gegen)Bf. IV. v. Metz (1090-1117/18)"
H4P00017,945,945,Bf. v. Trient,"Adalbero, Bf. v. Trient (1084-nach 1104), ital. Kanzler Heinrichs IV. // Bf. v. Trient"
H4P00017,1303,1303,Bf. v. Trient,"Adalbero, Bf. v. Trient (1084-nach 1104), ital. Kanzler Heinrichs IV. // Bf. v. Trient"
H4P00017,1496,1496,Bf. v. Trient,"Adalbero, Bf. v. Trient (1084-nach 1104), ital. Kanzler Heinrichs IV. // Bf. v. Trient"
H4P00017,1497,1497,Bf. v. Trient,"Adalbero, Bf. v. Trient (1084-nach 1104), ital. Kanzler Heinrichs IV. // Bf. v. Trient"
H4P00017,1536,1536,Bf. v. Trient,"Adalbero, Bf. v. Trient (1084-nach 1104), ital. Kanzler Heinrichs IV. // Bf. v. Trient"
H4P00017,1303,1303,ital. Kanzler Heinrichs IV.,"Adalbero, Bf. v. Trient (1084-nach 1104), ital. Kanzler Heinrichs IV. // ital. Kanzler Heinrichs IV."
H4P00017,1340,1340,ital. Kanzler Heinrichs IV.,"Adalbero, Bf. v. Trient (1084-nach 1104), ital. Kanzler Heinrichs IV. // ital. Kanzler Heinrichs IV."
H4P00018,1165,1165,,"Adalbero, Bf. v. Verona (1063-ca. 1069)"
