regid,Lemma
"RI III,2,3 n. 375",erhalten
"RI III,2,3 n. 376",begehen
"RI III,2,3 n. 377",verschieben
"RI III,2,3 n. 378",werden
"RI III,2,3 n. 379",restituieren
"RI III,2,3 n. 38",werden
"RI III,2,3 n. 380",verleihen
"RI III,2,3 n. 381",verleihen
"RI III,2,3 n. 382",schenken
"RI III,2,3 n. 383",befreien
"RI III,2,3 n. 384",werden
"RI III,2,3 n. 385",bestätigen
"RI III,2,3 n. 386",schenken
"RI III,2,3 n. 387",laden
"RI III,2,3 n. 388",übertragen
"RI III,2,3 n. 389",übertragen
"RI III,2,3 n. 39",werden
"RI III,2,3 n. 390",bestimmen
"RI III,2,3 n. 391",wohnen
"RI III,2,3 n. 392",bestätigen
"RI III,2,3 n. 393",halten
"RI III,2,3 n. 394",verleihen
"RI III,2,3 n. 395",verleihen
"RI III,2,3 n. 396",bestätigen
"RI III,2,3 n. 397",erneuern
"RI III,2,3 n. 398",bestätigen
"RI III,2,3 n. 399",verleihen
"RI III,2,3 n. 4",folgen
"RI III,2,3 n. 40",werden
"RI III,2,3 n. 400",verleihen
"RI III,2,3 n. 401",verleihen
"RI III,2,3 n. 403",schenken
"RI III,2,3 n. 404",schenken
"RI III,2,3 n. 405",finden
"RI III,2,3 n. 406",fordern
"RI III,2,3 n. 407",verlassen
"RI III,2,3 n. 408",verlegen
"RI III,2,3 n. 409",schenken
"RI III,2,3 n. 41",werden
"RI III,2,3 n. 410",schenken
"RI III,2,3 n. 411",schenken
"RI III,2,3 n. 412",schenken
"RI III,2,3 n. 413",übertragen
"RI III,2,3 n. 414",schenken
"RI III,2,3 n. 415",schenken
"RI III,2,3 n. 416",erlassen
"RI III,2,3 n. 417",fordern
"RI III,2,3 n. 418",unterstellen
"RI III,2,3 n. 419",schenken
"RI III,2,3 n. 42",werden
"RI III,2,3 n. 420",schenken
"RI III,2,3 n. 421",werden
"RI III,2,3 n. 422",gewähren
"RI III,2,3 n. 423",weisen
"RI III,2,3 n. 424",warnen
"RI III,2,3 n. 425",bestätigen
"RI III,2,3 n. 426",schenken
"RI III,2,3 n. 427",beziehen
"RI III,2,3 n. 428",fordern
"RI III,2,3 n. 429",entbinden
"RI III,2,3 n. 43",werden
"RI III,2,3 n. 430",begehen
"RI III,2,3 n. 431",werden
"RI III,2,3 n. 432",werden
"RI III,2,3 n. 433",fordern
"RI III,2,3 n. 434",machen
"RI III,2,3 n. 435",bestätigen
"RI III,2,3 n. 436",bestätigen
"RI III,2,3 n. 437",versprechen
"RI III,2,3 n. 438",begehen
"RI III,2,3 n. 44",werden
"RI III,2,3 n. 441",ernennen
"RI III,2,3 n. 442",ernennen
"RI III,2,3 n. 443",werden
"RI III,2,3 n. 444",begehen
"RI III,2,3 n. 445",bestätigen
"RI III,2,3 n. 446",werden
"RI III,2,3 n. 447",schenken
"RI III,2,3 n. 448",vermählen
"RI III,2,3 n. 449",bestätigen
"RI III,2,3 n. 45",werden
"RI III,2,3 n. 450",bestellen
"RI III,2,3 n. 451",halten
"RI III,2,3 n. 452",bestätigen
"RI III,2,3 n. 453",schenken
"RI III,2,3 n. 454",übertragen
"RI III,2,3 n. 455",schenken
"RI III,2,3 n. 456",schenken
"RI III,2,3 n. 457",erhalten
"RI III,2,3 n. 458",begehen
"RI III,2,3 n. 459",werden
"RI III,2,3 n. 46",intervenieren
"RI III,2,3 n. 461",werden
"RI III,2,3 n. 462",gewähren
"RI III,2,3 n. 463",treffen
"RI III,2,3 n. 464",unternehmen
"RI III,2,3 n. 465",ernennen
"RI III,2,3 n. 466",schenken
"RI III,2,3 n. 467",schenken
"RI III,2,3 n. 468",schenken
"RI III,2,3 n. 469",bestätigen
"RI III,2,3 n. 47",werden
"RI III,2,3 n. 470",gestatten
"RI III,2,3 n. 471",ernennen
"RI III,2,3 n. 472",begehen
"RI III,2,3 n. 473",bestätigen
"RI III,2,3 n. 474",geben
"RI III,2,3 n. 475",verleihen
"RI III,2,3 n. 476",bestätigen
"RI III,2,3 n. 477",bestätigen
"RI III,2,3 n. 478",erheben
"RI III,2,3 n. 479",verleihen
"RI III,2,3 n. 48",intervenieren
"RI III,2,3 n. 480",schenken
"RI III,2,3 n. 481",schenken
"RI III,2,3 n. 482",schenken
"RI III,2,3 n. 483",schenken
"RI III,2,3 n. 484",schenken
"RI III,2,3 n. 485",werden
"RI III,2,3 n. 486",begehen
"RI III,2,3 n. 487",beginnen
"RI III,2,3 n. 488",entsenden
"RI III,2,3 n. 489",halten
"RI III,2,3 n. 49",werden
"RI III,2,3 n. 490",erheben
"RI III,2,3 n. 491",bestätigen
"RI III,2,3 n. 492",schenken
"RI III,2,3 n. 493",empfangen
"RI III,2,3 n. 494",schenken
"RI III,2,3 n. 495",verleihen
"RI III,2,3 n. 496",schenken
"RI III,2,3 n. 497",bestätigen
"RI III,2,3 n. 498",verursachen
"RI III,2,3 n. 499",begehen
"RI III,2,3 n. 5",empfangen
"RI III,2,3 n. 50",intervenieren
"RI III,2,3 n. 500",schenken
"RI III,2,3 n. 501",schenken
"RI III,2,3 n. 502",schenken
"RI III,2,3 n. 503",schenken
"RI III,2,3 n. 504",verleihen
"RI III,2,3 n. 505",schenken
"RI III,2,3 n. 506",ernennen
"RI III,2,3 n. 507",begehen
"RI III,2,3 n. 508",schenken
"RI III,2,3 n. 509",zeihen|ziehen
"RI III,2,3 n. 51",intervenieren
"RI III,2,3 n. 510",nehmen
"RI III,2,3 n. 511",begehen
"RI III,2,3 n. 512",führen
"RI III,2,3 n. 513",restituieren
"RI III,2,3 n. 514",begehen
"RI III,2,3 n. 515",bestätigen
"RI III,2,3 n. 516",bekunden
"RI III,2,3 n. 517",begeben
"RI III,2,3 n. 518",marschieren
"RI III,2,3 n. 519",verleihen
"RI III,2,3 n. 52",intervenieren
"RI III,2,3 n. 520",verleihen
"RI III,2,3 n. 521",empfangen
"RI III,2,3 n. 522",bestätigen
"RI III,2,3 n. 523",setzen
"RI III,2,3 n. 524",gestatten
"RI III,2,3 n. 525",verleihen
"RI III,2,3 n. 526",nehmen
"RI III,2,3 n. 527",nehmen
"RI III,2,3 n. 528",brechen
"RI III,2,3 n. 529",empfangen
"RI III,2,3 n. 53",intervenieren
"RI III,2,3 n. 530",schenken
"RI III,2,3 n. 531",schenken
"RI III,2,3 n. 532",schenken
"RI III,2,3 n. 534",ernennen
"RI III,2,3 n. 535",schenken
"RI III,2,3 n. 536",schenken
"RI III,2,3 n. 537",sterben
"RI III,2,3 n. 538",begehen
"RI III,2,3 n. 539",schenken
"RI III,2,3 n. 54",intervenieren
"RI III,2,3 n. 540",führen
"RI III,2,3 n. 541",entsenden
"RI III,2,3 n. 542",begehen
"RI III,2,3 n. 543",begehen
"RI III,2,3 n. 544",erlassen
"RI III,2,3 n. 545",bestätigen
"RI III,2,3 n. 546",begehen
"RI III,2,3 n. 547",begehen
"RI III,2,3 n. 548",bestätigen
"RI III,2,3 n. 549",laden
"RI III,2,3 n. 55",folgen
"RI III,2,3 n. 550",schenken
"RI III,2,3 n. 551",bestätigen
"RI III,2,3 n. 552",schenken
"RI III,2,3 n. 553",verurteilen
"RI III,2,3 n. 554",bestätigen
"RI III,2,3 n. 555",zeihen|ziehen
"RI III,2,3 n. 556",kehren
"RI III,2,3 n. 557",legen
"RI III,2,3 n. 558",begehen
"RI III,2,3 n. 559",vollziehen
"RI III,2,3 n. 56",intervenieren
"RI III,2,3 n. 560",bereiten
"RI III,2,3 n. 561",zeihen|ziehen
"RI III,2,3 n. 562",haben
"RI III,2,3 n. 563",machen
"RI III,2,3 n. 564",zeihen|ziehen
"RI III,2,3 n. 565",zeihen|ziehen
"RI III,2,3 n. 566",verleihen
"RI III,2,3 n. 567",schenken
"RI III,2,3 n. 568",schenken
"RI III,2,3 n. 569",lassen
"RI III,2,3 n. 57",teilen
"RI III,2,3 n. 570",investieren
"RI III,2,3 n. 571",begehen
"RI III,2,3 n. 572",werden
"RI III,2,3 n. 573",restituieren
"RI III,2,3 n. 574",übertragen
"RI III,2,3 n. 575",schenken
"RI III,2,3 n. 576",begehen
"RI III,2,3 n. 577",wohnen
"RI III,2,3 n. 578",treffen
"RI III,2,3 n. 579",machen
"RI III,2,3 n. 58",intervenieren
"RI III,2,3 n. 580",fortsetzen
"RI III,2,3 n. 581",schenken
"RI III,2,3 n. 582",erhalten
"RI III,2,3 n. 583",vermeiden
"RI III,2,3 n. 584",erheben
"RI III,2,3 n. 585",zitieren
"RI III,2,3 n. 586",mindern
"RI III,2,3 n. 587",schenken
"RI III,2,3 n. 588",schenken
"RI III,2,3 n. 589",begehen
"RI III,2,3 n. 59",intervenieren
"RI III,2,3 n. 590",schenken
"RI III,2,3 n. 591",bestätigen
"RI III,2,3 n. 592",bestätigen
"RI III,2,3 n. 593",bestätigen
"RI III,2,3 n. 594",beurkunden
"RI III,2,3 n. 595",verleihen
"RI III,2,3 n. 596",gestatten
"RI III,2,3 n. 597",verhindern
"RI III,2,3 n. 598",verbringen
"RI III,2,3 n. 599",werden
"RI III,2,3 n. 6",bleiben
"RI III,2,3 n. 60",intervenieren
"RI III,2,3 n. 600",nehmen
"RI III,2,3 n. 601",feiern
"RI III,2,3 n. 602",begehen
"RI III,2,3 n. 603",schenken
"RI III,2,3 n. 604",erhalten
"RI III,2,3 n. 605",begehen
"RI III,2,3 n. 606",begehen
"RI III,2,3 n. 607",nehmen
"RI III,2,3 n. 61",werden
"RI III,2,3 n. 610",treffen
"RI III,2,3 n. 611",nötigen
"RI III,2,3 n. 612",setzen
"RI III,2,3 n. 613",setzen
"RI III,2,3 n. 614",bestätigen
"RI III,2,3 n. 615",bestätigen
"RI III,2,3 n. 616",lassen
"RI III,2,3 n. 617",setzen
"RI III,2,3 n. 618",setzen
"RI III,2,3 n. 619",begehen
"RI III,2,3 n. 62",intervenieren
"RI III,2,3 n. 620",werden
"RI III,2,3 n. 621",bestätigen
"RI III,2,3 n. 622",werden
"RI III,2,3 n. 623",bestätigen
"RI III,2,3 n. 625",werden
"RI III,2,3 n. 626",begehen
"RI III,2,3 n. 627",begehen
"RI III,2,3 n. 628",werden
"RI III,2,3 n. 629",begehen
"RI III,2,3 n. 63",intervenieren
"RI III,2,3 n. 630",sagen
"RI III,2,3 n. 631",bestätigen
"RI III,2,3 n. 632",verleihen
"RI III,2,3 n. 633",verleihen
"RI III,2,3 n. 634",bekunden
"RI III,2,3 n. 635",lassen
"RI III,2,3 n. 636",fühlen
"RI III,2,3 n. 637",weisen
"RI III,2,3 n. 638",entsenden
"RI III,2,3 n. 639",bestätigen
"RI III,2,3 n. 64",intervenieren
"RI III,2,3 n. 640",fahren|führen
"RI III,2,3 n. 641",richten
"RI III,2,3 n. 642",verlagern
"RI III,2,3 n. 643",betonen
"RI III,2,3 n. 644",fordern
"RI III,2,3 n. 645",entkommen
"RI III,2,3 n. 646",treffen
"RI III,2,3 n. 647",werden
"RI III,2,3 n. 648",lassen
"RI III,2,3 n. 649",treffen
"RI III,2,3 n. 65",folgen
"RI III,2,3 n. 650",schicken
"RI III,2,3 n. 651",wenden
"RI III,2,3 n. 652",belagern
"RI III,2,3 n. 653",versuchen
"RI III,2,3 n. 654",begeben
"RI III,2,3 n. 655",kommen
"RI III,2,3 n. 656",bestätigen
"RI III,2,3 n. 657",bestätigen
"RI III,2,3 n. 658",bekennen
"RI III,2,3 n. 659",bestätigen
"RI III,2,3 n. 66",intervenieren
"RI III,2,3 n. 660",ablehnen
"RI III,2,3 n. 661",werben
"RI III,2,3 n. 662",werden
"RI III,2,3 n. 663",senden
"RI III,2,3 n. 664",ermäßigen
"RI III,2,3 n. 665",ermäßigen
"RI III,2,3 n. 666",bestätigen
"RI III,2,3 n. 667",begehen
"RI III,2,3 n. 668",werden
"RI III,2,3 n. 669",erneuern
"RI III,2,3 n. 67",intervenieren
"RI III,2,3 n. 670",erkranken
"RI III,2,3 n. 671",werden
"RI III,2,3 n. 672",bestimmen
"RI III,2,3 n. 673",werden
"RI III,2,3 n. 674",veranlassen
"RI III,2,3 n. 675",begehen
"RI III,2,3 n. 676",tauschen
"RI III,2,3 n. 677",versuchen
"RI III,2,3 n. 678",ergeben
"RI III,2,3 n. 679",beauftragen
"RI III,2,3 n. 68",intervenieren
"RI III,2,3 n. 680",erlassen
"RI III,2,3 n. 681",sammeln
"RI III,2,3 n. 682",schicken
"RI III,2,3 n. 683",treffen
"RI III,2,3 n. 684",erscheinen
"RI III,2,3 n. 685",schenken
"RI III,2,3 n. 686",übertragen
"RI III,2,3 n. 687",nehmen
"RI III,2,3 n. 688",verwerfen
"RI III,2,3 n. 689",beschließen
"RI III,2,3 n. 69",intervenieren
"RI III,2,3 n. 690",nehmen
"RI III,2,3 n. 691",begeben
"RI III,2,3 n. 692",werden
"RI III,2,3 n. 693",ersuchen
"RI III,2,3 n. 694",schenken
"RI III,2,3 n. 695",ordnen
"RI III,2,3 n. 696",schenken
"RI III,2,3 n. 697",schenken
"RI III,2,3 n. 698",werden
"RI III,2,3 n. 699",erhalten
"RI III,2,3 n. 70",erhalten
"RI III,2,3 n. 700",empfangen
"RI III,2,3 n. 701",begehen
"RI III,2,3 n. 702",entsprechen
"RI III,2,3 n. 703",werden
"RI III,2,3 n. 704",bestätigen
"RI III,2,3 n. 705",erreichen
"RI III,2,3 n. 706",begehen
"RI III,2,3 n. 707",schenken
"RI III,2,3 n. 708",schenken
"RI III,2,3 n. 709",empfangen
"RI III,2,3 n. 71",bitten
"RI III,2,3 n. 710",halten
"RI III,2,3 n. 711",treffen
"RI III,2,3 n. 712",empfangen
"RI III,2,3 n. 713",unternehmen
"RI III,2,3 n. 714",übergeben
"RI III,2,3 n. 715",befehlen
"RI III,2,3 n. 716",kehren
"RI III,2,3 n. 717",bestätigen
"RI III,2,3 n. 718",begeben
"RI III,2,3 n. 719",schenken
"RI III,2,3 n. 72",werden
"RI III,2,3 n. 720",verwenden
"RI III,2,3 n. 721",erhalten
"RI III,2,3 n. 722",werden
"RI III,2,3 n. 723",bestätigen
"RI III,2,3 n. 724",gelangen|gelingen
"RI III,2,3 n. 726",entsenden
"RI III,2,3 n. 727",begehen
"RI III,2,3 n. 729",erhalten
"RI III,2,3 n. 73",folgen
"RI III,2,3 n. 730",warnen
"RI III,2,3 n. 731",gelingen
"RI III,2,3 n. 732",begehen
"RI III,2,3 n. 733",lassen
"RI III,2,3 n. 734",erfahren
"RI III,2,3 n. 735",begehen
"RI III,2,3 n. 736",bestellen
"RI III,2,3 n. 737",schenken
"RI III,2,3 n. 738",gestatten
"RI III,2,3 n. 739",schenken
"RI III,2,3 n. 74",empfangen
"RI III,2,3 n. 740",sammeln
"RI III,2,3 n. 741",eröffnen
"RI III,2,3 n. 742",verfolgen
"RI III,2,3 n. 743",enden
"RI III,2,3 n. 744",untersagen
"RI III,2,3 n. 745",begeben
"RI III,2,3 n. 746",schicken
"RI III,2,3 n. 747",ernennen
"RI III,2,3 n. 748",entlassen
"RI III,2,3 n. 749",werden
"RI III,2,3 n. 75",übernehmen
"RI III,2,3 n. 751",schicken
"RI III,2,3 n. 752",bieten
"RI III,2,3 n. 753",beabsichtigen
"RI III,2,3 n. 754",werden
"RI III,2,3 n. 755",werden
"RI III,2,3 n. 756",werden
"RI III,2,3 n. 757",begeben
"RI III,2,3 n. 758",erklären
"RI III,2,3 n. 759",verleihen
"RI III,2,3 n. 76",werden
"RI III,2,3 n. 760",entsenden
"RI III,2,3 n. 761",empfangen
"RI III,2,3 n. 762",bestätigen
"RI III,2,3 n. 763",übermitteln
"RI III,2,3 n. 765",versammeln
"RI III,2,3 n. 766",bitten
"RI III,2,3 n. 767",beauftragen
"RI III,2,3 n. 768",nehmen
"RI III,2,3 n. 769",geben
"RI III,2,3 n. 77",empfehlen
"RI III,2,3 n. 770",begehen
"RI III,2,3 n. 771",bitten
"RI III,2,3 n. 772",werden
"RI III,2,3 n. 773",ernennen
"RI III,2,3 n. 774",übergeben
"RI III,2,3 n. 775",berufen
"RI III,2,3 n. 776",ernennen
"RI III,2,3 n. 777",setzen
"RI III,2,3 n. 778",werden
"RI III,2,3 n. 779",begehen
"RI III,2,3 n. 78",restituieren
"RI III,2,3 n. 780",schlagen
"RI III,2,3 n. 781",werden
"RI III,2,3 n. 782",entsenden
"RI III,2,3 n. 783",erhalten
"RI III,2,3 n. 784",treffen
"RI III,2,3 n. 785",werfen
"RI III,2,3 n. 786",wenden
"RI III,2,3 n. 787",entsenden
"RI III,2,3 n. 788",verlagern
"RI III,2,3 n. 789",treffen
"RI III,2,3 n. 79",erhalten
"RI III,2,3 n. 790",setzen
"RI III,2,3 n. 791",werden
"RI III,2,3 n. 792",treffen
"RI III,2,3 n. 793",erscheinen
"RI III,2,3 n. 794",suspendieren
"RI III,2,3 n. 796",erteilen
"RI III,2,3 n. 797",setzen
"RI III,2,3 n. 798",verlassen
"RI III,2,3 n. 799",wohnen
"RI III,2,3 n. 8",intervenieren
"RI III,2,3 n. 80",erörtern
"RI III,2,3 n. 800",erhalten
"RI III,2,3 n. 801",begehen
"RI III,2,3 n. 802",bestätigen
"RI III,2,3 n. 804",ordnen
"RI III,2,3 n. 805",bitten
"RI III,2,3 n. 806",übertragen
"RI III,2,3 n. 807",übertragen
"RI III,2,3 n. 808",verwenden
"RI III,2,3 n. 809",ernennen
"RI III,2,3 n. 81",werden
"RI III,2,3 n. 810",erwägen
"RI III,2,3 n. 811",feiern
"RI III,2,3 n. 812",ernennen
"RI III,2,3 n. 813",schenken
"RI III,2,3 n. 814",sterben
"RI III,2,3 n. 815",befehlen
"RI III,2,3 n. 816",erfahren
"RI III,2,3 n. 817",fernbleiben
"RI III,2,3 n. 819",werden
"RI III,2,3 n. 82",werden
"RI III,2,3 n. 820",entsenden
"RI III,2,3 n. 823",schenken
"RI III,2,3 n. 824",vereinigen
"RI III,2,3 n. 825",zeihen|ziehen
"RI III,2,3 n. 826",übertragen
"RI III,2,3 n. 83",erfolgen
"RI III,2,3 n. 830",werden
"RI III,2,3 n. 831",beklagen
"RI III,2,3 n. 832",treffen
"RI III,2,3 n. 833",fordern
"RI III,2,3 n. 834",entlassen
"RI III,2,3 n. 835",investieren
"RI III,2,3 n. 836",lagern
"RI III,2,3 n. 840",versprechen
"RI III,2,3 n. 841",beginnen
"RI III,2,3 n. 843",räumen
"RI III,2,3 n. 844",begeben
"RI III,2,3 n. 845",empfangen
"RI III,2,3 n. 846",empfangen
"RI III,2,3 n. 848",senden
"RI III,2,3 n. 849",verlassen
"RI III,2,3 n. 850",begehen
"RI III,2,3 n. 851",senden
"RI III,2,3 n. 852",treffen
"RI III,2,3 n. 853",bestätigen
"RI III,2,3 n. 854",überqueren
"RI III,2,3 n. 855",führen
"RI III,2,3 n. 856",erscheinen
"RI III,2,3 n. 858",treffen
"RI III,2,3 n. 859",treffen
"RI III,2,3 n. 86",begehen
"RI III,2,3 n. 860",überschreiten
"RI III,2,3 n. 862",erteilen
"RI III,2,3 n. 863",entsenden
"RI III,2,3 n. 865",empfangen
"RI III,2,3 n. 866",bestätigen
"RI III,2,3 n. 867",befreien
"RI III,2,3 n. 868",bestätigen
"RI III,2,3 n. 869",bestätigen
"RI III,2,3 n. 870",bestätigen
"RI III,2,3 n. 871",übertragen
"RI III,2,3 n. 872",verschieben
"RI III,2,3 n. 873",erhalten
"RI III,2,3 n. 874",entziehen
"RI III,2,3 n. 875",verleihen
"RI III,2,3 n. 876",feiern
"RI III,2,3 n. 877",erhalten
"RI III,2,3 n. 879",feiern
"RI III,2,3 n. 88",herrschen
"RI III,2,3 n. 880",werden
"RI III,2,3 n. 881",befehlen
"RI III,2,3 n. 882",bestätigen
"RI III,2,3 n. 883",bestätigen
"RI III,2,3 n. 885",verlassen
"RI III,2,3 n. 886",treffen
"RI III,2,3 n. 887",unternehmen
"RI III,2,3 n. 888",betonen
"RI III,2,3 n. 889",aufsetzen
"RI III,2,3 n. 890",begeben
"RI III,2,3 n. 891",verleihen
"RI III,2,3 n. 892",verleihen
"RI III,2,3 n. 893",schenken
"RI III,2,3 n. 894",zeihen|ziehen
"RI III,2,3 n. 895",verleihen
"RI III,2,3 n. 896",übertragen
"RI III,2,3 n. 897",schließen
"RI III,2,3 n. 898",versuchen
"RI III,2,3 n. 899",beenden
"RI III,2,3 n. 9",werden
"RI III,2,3 n. 900",begeben
"RI III,2,3 n. 901",entsenden
"RI III,2,3 n. 902",werden
"RI III,2,3 n. 903",verweilen
"RI III,2,3 n. 904",verlassen
"RI III,2,3 n. 905",ernennen
"RI III,2,3 n. 906",setzen
"RI III,2,3 n. 907",unternehmen
"RI III,2,3 n. 908",feiern
"RI III,2,3 n. 909",begeben
"RI III,2,3 n. 910",empfangen
"RI III,2,3 n. 911",setzen
"RI III,2,3 n. 912",treffen
"RI III,2,3 n. 913",begeben
"RI III,2,3 n. 914",halten
"RI III,2,3 n. 915",verleihen
"RI III,2,3 n. 916",halten
"RI III,2,3 n. 918",nehmen
"RI III,2,3 n. 919",vereinigen
"RI III,2,3 n. 920",sterben
"RI III,2,3 n. 921",begehen
"RI III,2,3 n. 922",stellen
"RI III,2,3 n. 923",weisen
"RI III,2,3 n. 924",belagern
"RI III,2,3 n. 925",setzen
"RI III,2,3 n. 926",entsenden
"RI III,2,3 n. 928",setzen
"RI III,2,3 n. 929",schenken
"RI III,2,3 n. 93",regeln
"RI III,2,3 n. 930",schenken
"RI III,2,3 n. 931",schenken
"RI III,2,3 n. 932",schenken
"RI III,2,3 n. 933",erhalten
"RI III,2,3 n. 934",restituieren
"RI III,2,3 n. 935",feiern
"RI III,2,3 n. 936",feiern
"RI III,2,3 n. 937",kehren
"RI III,2,3 n. 938",kehren
"RI III,2,3 n. 939",treffen
"RI III,2,3 n. 94",erheben
"RI III,2,3 n. 940",kommen
"RI III,2,3 n. 941",laden
"RI III,2,3 n. 942",begeben
"RI III,2,3 n. 943",ernennen
"RI III,2,3 n. 944",feiern
"RI III,2,3 n. 945",geben
"RI III,2,3 n. 946",verhindern
"RI III,2,3 n. 947",treffen
"RI III,2,3 n. 948",zeihen|ziehen
"RI III,2,3 n. 949",sammeln
"RI III,2,3 n. 95",werden
"RI III,2,3 n. 950",zeihen|ziehen
"RI III,2,3 n. 951",brechen
"RI III,2,3 n. 952",belagern
"RI III,2,3 n. 953",lassen
"RI III,2,3 n. 955",begeben
"RI III,2,3 n. 956",begehen
"RI III,2,3 n. 957",ernennen
"RI III,2,3 n. 958",ernennen
"RI III,2,3 n. 959",restituieren
"RI III,2,3 n. 960",lassen
"RI III,2,3 n. 961",bieten
"RI III,2,3 n. 963",schenken
"RI III,2,3 n. 964",treffen
"RI III,2,3 n. 965",feiern
"RI III,2,3 n. 967",weisen
"RI III,2,3 n. 968",empfangen
"RI III,2,3 n. 969",entsenden
"RI III,2,3 n. 970",unternehmen
"RI III,2,3 n. 971",feiern
"RI III,2,3 n. 972",empfangen
"RI III,2,3 n. 974",bestätigen
"RI III,2,3 n. 975",schenken
"RI III,2,3 n. 976",treffen
"RI III,2,3 n. 977",überlassen
"RI III,2,3 n. 978",bitten
"RI III,2,3 n. 979",verleihen
"RI III,2,3 n. 980",übertragen
"RI III,2,3 n. 981",brechen
"RI III,2,3 n. 982",stimmen
"RI III,2,3 n. 983",schenken
"RI III,2,3 n. 984",schenken
"RI III,2,3 n. 985",schenken
"RI III,2,3 n. 986",unternehmen
"RI III,2,3 n. 987",ernennen
"RI III,2,3 n. 988",begehen
"RI III,2,3 n. 989",schenken
"RI III,2,3 n. 990",sammeln
"RI III,2,3 n. 991",werden
"RI III,2,3 n. 992",treffen
"RI III,2,3 n. 993",werden
"RI III,2,3 n. 994",brechen
"RI III,2,3 n. 995",entsenden
"RI III,2,3 n. 996",verbieten
"RI III,2,3 n. 997",versuchen
"RI III,2,3 n. 998",feiern
