ID,,Anzahl,Original,Alternativname,normalisiertDeutsch,Long,Lat,wikidataId,GettyId,GeonamesId,Kommentar,Zuordnung,Lage,Sicherheit,InstInDerStadt,wikidata-id inst,Geonames-id inst,,,,,,,,GND
10618,0,15,und o. O.,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
11679,0,18,‒‒‒‒,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
11519,0,33,[-]<sup>1 </sup>,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
1117,0,40,(‒),,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
1121,0,47,-,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
886,0,74,(sine loco),,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
11663,0,144,[–]<sup>1</sup>,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
1305,0,191,?,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
9909,0,205,Sine loco,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
8355,0,235,o. O.,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
11684,0,240,—,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
829,0,272,(s. l.),,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
11520,0,333,[-]<sup>1</sup>,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
11680,0,408,–,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
11664,0,442,‒,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
8398,0,444,ohne Ort,,-,,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
11662,0,590,[–],,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
11516,0,1721,[-],,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
1,0,7740,,,-,,,,,,,,,,,,,0,0,0,0,0,0,0,
1127,0,1,...houa,,...houa,,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
2,0,1,"""Cornino"" <em>ad S. Vito</em>",,"""Cornino"" <em>ad S. Vito</em>",,,,,,,,,,,,,0,0,0,0,0,0,0,
11688,0,3,„Grüningen”,,„Grüningen”,,,,,,,,,,,,,0,0,0,0,0,0,0,
1130,0,1,<em> in Achaiae seu Thessalie finibus </em>,,<em> in Achaiae seu Thessalie finibus </em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1132,0,1,<em>ad ecclesia s. Iuliani</em>,,<em>ad ecclesia s. Iuliani</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1133,0,1,<em>ad Fontem Capellae</em>,,<em>ad Fontem Capellae</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1134,0,1,<em>Agrabona</em>,,<em>Agrabona</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1137,0,1,<em>Ambrilie</em>,,<em>Ambrilie</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1140,0,1,<em>Arena</em>,,<em>Arena</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
10031,0,1,Spoleto - <em>Atella</em>,,<em>Atella</em>,,,,,,doppelt,,,,,,,,,,,,,,
1143,0,1,<em>Auf der Wart</em>,,<em>Auf der Wart</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1144,0,1,"<em>Aukario castro </em>(<em>.III. Non. Dec., Aukario castro</em>)",,"<em>Aukario castro </em><em>.III. Non. Dec., Aukario castro</em>",,,,,,,,,,,,,0,0,0,0,0,0,0,
1148,0,1,<em>Baiano</em>,,<em>Baiano</em>,,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
5,0,1,(<em>Breliano</em>?),,<em>Breliano</em>,,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
1156,0,1,<em>Burium</em> im Bistum Piacenza,,<em>Burium</em> im Bistum Piacenza,,,,,,,,,,,,,0,0,0,0,0,0,0,
1192,0,1,<em>Ierapolis</em> (heute: Pamukkale) – Menderes – <em>campi Laodicię</em> (zwischen dem Menderes und Denizli),,<em>campi Laodicię</em> = zwischen dem Menderes und Denizli,,,,,,doppelt,,,,,,,,,,,,,,
1158,0,1,<em>Cariliaco villa palatio regio</em>,,<em>Cariliaco villa palatio regio</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1160,0,1,<em>Casiriano</em>,,<em>Casiriano</em>,,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
1164,0,1,<em>castello Ripalta</em> in Pistoia,,<em>castello Ripalta</em> in Pistoia,,,,,,,,,,,,,0,0,0,0,0,0,0,
1168,0,1,<em>Castro N</em>,,<em>Castro N</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1169,0,1,<em>Caudi</em>,,<em>Caudi</em>,,,,,,,,,,,,,0,0,Otto IV.,0,0,0,0,
1170,0,1,<em>Caudim</em>,,<em>Caudim</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1174,0,1,<em>Colonna</em>,,<em>Colonna</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1176,0,3,<em>Coriano</em>,,<em>Coriano</em>,,,,,,,,,,,,,0,0,Otto IV.,0,0,0,0,
1180,0,1,<em>Elczack</em>,,<em>Elczack</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1181,0,1,<em>Ex Nursio</em> (?) in Burgund,,<em>Ex Nursio</em> in Burgund,,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
1182,0,1,<em>Fagedum</em>,,<em>Fagedum</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1183,0,1,<em>Falagrine sala publica</em>,,<em>Falagrine sala publica</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1184,0,1,<em>Fluvium</em>,,<em>Fluvium</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1186,0,1,<em>Furcone</em>,,<em>Furcone</em>,,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
1189,0,1,<em>Gazani</em>,,<em>Gazani</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1190,0,1,<em>Grontortum</em>,,<em>Grontortum</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1196,0,1,<em>in castro Gaveciola</em>,,<em>in castro Gaveciola</em>,,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
1204,0,1,<em>in Grecia </em>,,<em>in Grecia </em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1208,0,1,<em>in Pratis de Grannis</em>,,<em>in Pratis de Grannis</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1214,0,1,<em>in vnserm marckt Myorach</em>,,<em>in vnserm marckt Myorach</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1221,0,1,<em>loco et castello prope [...]</em>,,<em>loco et castello prope [...]</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1229,0,1,<em>Lupatina</em>,,<em>Lupatina</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1230,0,1,<em>Malninum</em>,,<em>Malninum</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1233,0,2,<em>Menchingen</em>,,<em>Menchingen</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1234,0,1,<em>Monactiano</em>,,<em>Monactiano</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1235,0,1,<em>Moranianum</em>,,<em>Moranianum</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1243,0,1,<em>Niwenburch </em>,,<em>Niwenburch </em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1246,0,1,<em>Orcho</em>,,<em>Orcho</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1247,0,1,<em>Orco</em>,,<em>Orco</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1250,0,1,<em>Persgaden</em>,,<em>Persgaden</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1257,0,1,<em>Puchen</em>,,<em>Puchen</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1258,0,1,<em>Quingentas</em>,,<em>Quingentas</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
538,0,1,(Le Palais-sur-Vienne -- <em>Francia</em> -- Tours -- Chauppes -- <em>Restis</em> -- Le Mans),,<em>Restis</em>,,,,,,doppelt,,,,,,,,,,,,,,
535,0,1,(Lausanne) und <em>Romain-Moustier</em>,,<em>Romain-Moustier</em>,,,,,,doppelt,,,,,,,0,0,0,0,0,0,0,
1261,0,1,<em>Roveri</em> (?),,<em>Roveri</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
4086,0,1,Bussolengo - S. Zeno in Verona - <em>S. Andrea in Umerio</em>,,<em>S. Andrea in Umerio</em>,,,,,,doppelt,,,,,,,,,,,,,,
1264,0,1,<em>S. Sebastiano</em> und <em>Septe</em>,,<em>S. Sebastiano</em>,,,,,,doppelt,,,,,,,0,0,0,0,0,0,0,
1264,0,1,<em>S. Sebastiano</em> und <em>Septe</em>,,<em>Septe</em>,,,,,,doppelt,,,,,,,,,,,,,,
1267,0,1,<em>Serena in territorio Aternense</em>,,<em>Serena in territorio Aternense</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1269,0,1,<em>Sessula</em>,,<em>Sessula</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1270,0,1,<em>Sinna</em>,,<em>Sinna</em>,,,,,,,,,,,,,0,0,Philipp,0,0,0,0,
1273,0,1,<em>Summo lacu</em>,,<em>Summo lacu</em>,,,,,,,,,,,,,0,0,Philipp,0,0,0,0,
1274,0,1,"<em>Tabiano</em> ""territorio di Roselle""",,"<em>Tabiano</em> ""territorio di Roselle""",,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
1277,0,1,<em>Trita</em> im Tal des Tirino,,<em>Trita</em> im Tal des Tirino,,,,,,,,,,,,,0,0,Friedrich III.,0,0,0,0,
1278,0,1,<em>Turris</em> (am Cisa-Paß) - Luni,,<em>Turris</em> am Cisa-Paß,,,,,,doppelt,,,,,,,0,0,0,0,0,0,0,
1280,0,1,<em>Ucto</em> (am Comersee),,<em>Ucto</em> am Comersee,,,,,,,,,,,,,0,0,0,0,0,0,0,
1281,0,1,<em>Uno Castello in Barbom</em>,,<em>Uno Castello in Barbom</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1284,0,1,<em>vico Frexianuco</em>,,<em>vico Frexianuco</em>,,,,,,,,,,,,,0,0,Friedrich II.,0,0,0,0,
1288,0,1,<em>Villa Avegio</em> im Anjou,,<em>Villa Avegio</em> im Anjou,,,,,,,,,,,,,0,0,0,0,0,0,0,
1289,0,1,<em>villa Ponciano</em>,,<em>villa Ponciano</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1292,0,1,<em>villa Ulmarici</em>,,<em>villa Ulmarici</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1294,0,1,<em>Vuilzachara</em>,,<em>Vuilzachara</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1296,0,1,<em>Wall</em>,,<em>Wall</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
